,ID,pca_species,COII_GenBank_Accession_Number,sex,pop,year,longitude,latitude,,note:,Cassibile=SP04+MP+SP104+Cassibile+FontaneBianche,,,,,,,,,,
F27,F27,benazzii,OR724394,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F28,F28,NW F1 hybrids,OR724395,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F29,F29,NW hybridogen,OR724396,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F30,F30,benazzii,OR724397,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F31,F31,rossius,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F32,F32,benazzii,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F33,,,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F34,F34,benazzii,-,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F35,F35,benazzii,OR724399,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F36,F36,benazzii,OR724400,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F37,F37,NW F1 hybrids,OR724401,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F38,F38,rossius,OR724402,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F39,F39,benazzii,OR724403,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F40,F40,NW F1 hybrids,OR724404,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F41,F41,NW hybridogen,OR724405,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F42,F42,NW F1 hybrids,OR724406,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F43,F43,rossius,-,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F44,F44,rossius,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F45,F45,NW hybridogen,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F46,F46,NW hybridogen,-,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F47,F47,NW hybridogen,OR724407,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F48,F48,rossius,OR724408,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F49,F49,benazzii,OR724409,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F50,,,,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F51,F51,benazzii,OR724411,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F52,F52,benazzii,OR724412,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F53,F53,rossius,OR724413,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F54,,NW hybridogen,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
F55,F55,benazzii,-,NA,Levanzo,2020,12.332778,38.003212,,,,,,,,,,,,,
F56,,benazzii,,NA,Levanzo,2020,12.332778,38.003212,,,,,,,,,,,,,
F57,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F58,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F59,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F60,,,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F61,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F62,,,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F63,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F64,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F65,,,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F66,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F67,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F68,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F69,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F70,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F71,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F72,,rossius,,F,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F73,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F75,,rossius,,NA,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F78,,rossius,,NA,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F79,,rossius,,NA,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F80,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F81,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F83,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F84,,rossius,,M,Vesuve,2020,14.4146,40.818008,,,,,,,,,,,,,
F86,F86,rossius,OR724438,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F87,,NW hybridogen,,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F88,F88,NW hybridogen,OR724440,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F89,F89,rossius,OR724441,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F90,F90,rossius,OR724442,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F91,F91,benazzii,-,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F92,,NW F1 hybrids,,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F93,F93,benazzii,-,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F94,F94,rossius,OR724443,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F95,,,,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F96,,rossius,,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F97,F97,rossius,OR724446,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F98,F98,lynceorum,OR724447,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
F99,F99,NW hybridogen,OR724448,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G01,G01,rossius,OR724449,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G02,G02,rossius,OR724450,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G03,G03,rossius,OR724451,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G04,,,,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G05,G05,rossius,OR724453,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G06,G06,rossius,OR724454,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G07,G07,rossius,OR724455,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G08,G08,rossius,OR724456,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G09,G09,rossius,OR724457,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G10,G10,rossius,OR724458,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G11,G11,rossius,OR724459,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G12,G12,NW hybridogen,OR724460,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G13,G13,rossius,OR724461,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G14,G14,rossius,OR724462,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G15,G15,rossius,OR724463,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G16,G16,rossius,OR724464,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G17,,,,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G18,,rossius,,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G19,G19,rossius,OR724466,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G20,G20,benazzii,OR724467,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
G21,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G22,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G23,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G24,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G25,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G26,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G27,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G28,,rossius,,F,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G29,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G30,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G31,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G32,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G33,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G34,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G35,,rossius,,NA,Forgiano,2020,17.138883,38.999274,,,,,,,,,,,,,
G36,,rossius,,F,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G37,,rossius,,F,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G38,,,,F,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G39,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G40,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G41,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G42,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G43,,,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G45,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G46,,,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G47,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G48,,rossius,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G49,,,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G50,,,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G51,,,,NA,Sant,Ambrogio,2020,14.103638,38.011168,,,,,,,,,,,,
G52,G52,SE hybridogen,OR724494,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G53,G53,SE hybridogen,OR724495,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G54,G54,SE hybridogen,OR724496,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G55,G55,SE hybridogen,OR724497,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G56,G56,grandii,OR724498,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G57,G57,whitei,OR724499,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G58,G58,grandii,OR724500,M,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G59,G59,grandii,-,M,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G60,G60,SE hybridogen,OR724501,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G61,G61,SE hybridogen,OR724502,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G62,G62,whitei,OR724503,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G63,G63,whitei,OR724504,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G64,G64,SE hybridogen,OR724505,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G65,G65,grandii,OR724506,F,SP04,2020,15.034707,36.978432,,,,,,,,,,,,,
G66,G66,maretimi,OR724507,NA,Marettimo,2020,12.078274,37.958318,,,,,,,,,,,,,
G67,G67,whitei,OR724508,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G68,G68,grandii,OR724509,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G69,G69,grandii,OR724510,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G70,G70,SE hybridogen,OR724511,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G71,,grandii,,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G72,G72,grandii,OR724513,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G73,,,,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G74,G74,grandii,OR724515,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G75,G75,grandii,OR724516,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G76,G76,novel,OR724517,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G77,G77,whitei,OR724518,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G78,G78,whitei,OR724519,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G79,,,,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G80,G80,grandii,OR724521,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G81,G81,SE hybridogen,OR724522,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G82,G82,grandii,OR724523,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G83,G83,lynceorum,OR724524,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G84,G84,grandii,OR724525,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G85,G85,grandii,OR724526,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G86,G86,grandii,OR724527,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G87,G87,grandii,OR724528,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G88,G88,novel,OR724529,NA,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G89,G89,grandii,OR724530,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G90,G90,whitei,OR724531,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G91,G91,grandii,OR724532,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G92,G92,grandii,OR724533,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G93,G93,whitei,OR724534,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G94,G94,lynceorum,OR724535,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G95,G95,grandii,OR724536,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G96,G96,grandii,OR724537,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G97,,,,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G98,G98,SE hybridogen,OR724539,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
G99,,,,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H01,H01,rossius,OR724541,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H02,H02,rossius,-,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H03,,,,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H04,H04,rossius,OR724543,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H05,H05,rossius,OR724544,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H06,H06,rossius,OR724545,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H07,H07,rossius,OR724546,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H08,H08,rossius,-,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H09,H09,rossius,OR724547,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H10,H10,rossius,OR724548,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H11,H11,rossius,OR724549,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H13,,,,NA,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H14,H14,rossius,OR724551,NA,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H15,H15,rossius,OR724552,NA,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H16,H16,rossius,OR724553,NA,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H17,H17,rossius,OR724554,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H18,H18,rossius,OR724555,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H19,H19,rossius,OR724556,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H20,,rossius,,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H21,H21,rossius,-,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H22,H22,rossius,OR724558,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H23,H23,rossius,OR724559,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H24,H24,rossius,OR724560,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H25,,,,F,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H26,H26,rossius,OR724562,M,Patti,2020,15.005889,38.107282,,,,,,,,,,,,,
H27,H27,SE hybridogen,OR724563,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H28,H28,grandii,OR724564,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H29,H29,grandii,OR724565,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H30,H30,SE hybridogen,OR724566,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H31,H31,SE hybridogen,OR724567,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H32,H32,whitei,OR724568,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H33,H33,grandii,OR724569,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H34,H34,grandii,OR724570,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H35,H35,grandii,OR724571,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H36,H36,grandii,OR724572,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H37,,,,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H38,H38,grandii,OR724574,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H39,,,,NA,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H40,H40,grandii,OR724576,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H41,H41,grandii,OR724577,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H42,H42,whitei,OR724578,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H43,H43,SE hybridogen,OR724579,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H44,H44,grandii,OR724580,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H45,H45,SE hybridogen,OR724581,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H46,H46,SE hybridogen,OR724582,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H47,H47,SE hybridogen,OR724583,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H48,,grandii,,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H49,,,,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H50,H50,SE hybridogen,OR724586,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H51,H51,grandii,OR724587,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H52,H52,benazzii,OR724588,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H53,H53,benazzii,OR724589,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H54,H54,rossius,OR724590,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H55,H55,benazzii,OR724591,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H56,H56,rossius,OR724592,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H57,H57,rossius,OR724593,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H58,H58,rossius,OR724594,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H59,H59,benazzii,OR724595,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H60,H60,benazzii,OR724596,M,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H61,,,,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H62,H62,benazzii,OR724598,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H63,H63,benazzii,OR724599,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H64,H64,benazzii,OR724600,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H65,H65,rossius,OR724601,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H66,H66,benazzii,OR724602,NA,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H67,H67,benazzii,OR724603,M,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H68,,,,M,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H69,H69,benazzii,OR724604,M,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
H70,H70,rossius,OR724605,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H71,H71,rossius,OR724606,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H72,H72,NW hybridogen,OR724607,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H73,,,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H74,H74,NW hybridogen,OR724609,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H75,H75,NW F1 hybrids,OR724610,M,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H76,,rossius,,F,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H77,H77,rossius,OR724612,NA,ScopelloNord,2020,12.801457,38.059454,,,,,,,,,,,,,
H78,H78,SE hybridogen,OR724613,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H79,H79,grandii,OR724614,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H80,H80,whitei,OR724615,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H81,,grandii,,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H82,H82,grandii,OR724617,F,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H83,H83,grandii,OR724618,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
H85,,,,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H86,H86,lynceorum,OR724620,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H87,H87,lynceorum,OR724621,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H88,H88,lynceorum,OR724622,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H89,H89,lynceorum,OR724623,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H90,H90,lynceorum,OR724624,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H91,H91,lynceorum,OR724625,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H92,H92,lynceorum,-,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H93,H93,lynceorum,OR724626,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H94,H94,lynceorum,OR724627,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H95,H95,rossius,OR724628,NA,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H96,H96,lynceorum,-,F,Siracusa,2020,15.276944,37.072769,,,,,,,,,,,,,
H97,H97,SE hybridogen,OR724629,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
H98,H98,grandii,OR724630,M,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
I02,,SE hybridogen,,F,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
I03,I03,grandii,OR724632,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
I04,I04,grandii,OR724633,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
I05,I05,grandii,-,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
I06,I06,grandii,OR724634,M,Cassibile,2020,15.047276,36.985315,,,,,,,,,,,,,
I07,I07,SE hybridogen,-,NA,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
I08,I08,SE hybridogen,OR724635,NA,MP,2020,15.029407,36.980648,,,,,,,,,,,,,
LJ,,rossius,,F,Campobello,di,Mazara,2021,12.726149,37.639182,,,,,,,,,,,
Castel2,,,,F,Castellamare,del,Golfo,2021,12.874521,38.031003,,,,,,,,,,,
Gela3,,lynceorum,,F,Gela,2021,14.452445,37.096112,,,,,,,,,,,,,
Gela4,,lynceorum,,F,Gela,2021,14.452445,37.096112,,,,,,,,,,,,,
4cage5,,whitei,,F,Giarratana,2021,14.814908,37.058961,,,,,,,,,,,,,
4cage6,,whitei,,F,Giarratana,2021,14.814908,37.058961,,,,,,,,,,,,,
4cage7,,whitei,,F,Giarratana,2021,14.814908,37.058961,,,,,,,,,,,,,
4cage8,,,,F,Giarratana,2021,14.814908,37.058961,,,,,,,,,,,,,
GT9,,rossius,,F,Gorghi,Tondi,2021,12.653602,37.61075,,,,,,,,,,,,
GT10,,rossius,,M,Gorghi,Tondi,2021,12.653602,37.61075,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Brsri,,,,F,Ravenna,2020,12.252333,44.364955,,,,,,,,,,,,,
Bgigi,,,,F,"Lab-reared, originally from Cassibile",2021,15.047276,36.985315,,,,,,,,,,,,,
Bgibi,,,,F,Scopello,2020,12.813687,38.06703,,,,,,,,,,,,,
Bas,,,,F,identical,with,C58,2018,15.034707,36.978432,,,,,,,,,,,
Bwi,,,,F,"Lab-reared, originally from P. Acreide",2021,14.957433,37.040547,,,,,,,,,,,,,
Blm,Siracusa,,,,F,Siracusa,2022,15.276944,37.072769,,,,,,,,,,,,
Blm,Gela,,,,F,identical,with,Gela4,2021,14.452445,37.096112,,,,,,,,,,
Hybridogen1,haplome,,,,Unfertilised,eggs,pool,of,multiple,eggs,from,three,different,females,from,Cassibile,2021,15.047276,36.985315,,
Hybridogen2,haplome,,,,Unfertilised,eggs,pool,of,three,eggs,from,a,single,lab-reared,female,originally,from,Scopello,2020,12.813687,38.06703
,,,,,,,,,,,,,,,,,,,,,
B90D31,,,,,,,,,,,,,,,,,,,,,
F83D27,,,,,,,,,,,,,,,,,,,,,
E35D28,,,,,,,,,,,,,,,,,,,,,
H18G91,,,,,,,,,,,,,,,,,,,,,
F97G56,,,,,,,,,,,,,,,,,,,,,
B90D55,,,,,,,,,,,,,,,,,,,,,
F83C27,,,,,,,,,,,,,,,,,,,,,
